Month,Year,GP_Index_No,pluno,Item_Name,Net_Qty,O_B,Closing_Stock
November,2023,II/013083L,13083,AGARBATTI SAI BHAKTI 20 STI,195,662,467
November,2023,II/013115E,13115,AGARBATTI CHADAN H/DARSAN,201,573,372
November,2023,II/013120P,13120,HARI DARSHAN DHOOP 4IN1,72,72,0
November,2023,II/013122T,13122,HARIDARSHAN DHOOP,186,432,678
November,2023,II/013136A,13136,AGARBATTI CYCLE 25 STICKS,48,48,0
November,2023,II/013167K,13167,MANGALAM CMPHOR CONE,3,4,1
November,2023,II/013211H,13211,UNITED PREMIUM SMART COOKER 3 LTR,1,1,0
November,2023,II/014028E,14028,KINFE & PEELER 3 PSC SET,3,53,50
November,2023,II/014996E,14996,CASEROLLE BUFFET MILTON 2 L,4,7,3
November,2023,II/015103X,15103,CASEROL MILTON COZEE 1440 ML,3,20,17
November,2023,II/015288N,15288,VACUUM BOTTLE 1000ML NIRLON,1,1,0
November,2023,II/016008M,16008,TREO BEER MUG 385 ML(SET OF 2),1,14,13
November,2023,II/017014S,17014,CUT GLASS BOROSIL MED,2,15,29
November,2023,II/017015T,17015,BOROSIL GLASS LARGE,4,16,12
November,2023,II/017169I,17169,CLASSIC 51 PCS DINNER SET,1,1,0
November,2023,II/017205H,17205,HARPIC FLUSH MAT 100 GM,30,46,16
November,2023,II/017208H,17208,HARPIC T/CLEANER 1LT,53,53,80
November,2023,II/017209L,17209,HARPIC POWER PLUS 1 L,26,26,0
November,2023,II/018028S,18028,INDUCTION COOKER SUNFLY TRAFALGAR,2,5,3
November,2023,II/018033P,18033,PHILIPS INDUCTION COOK,2,6,4
November,2023,II/018063G,18063,CLASSIC 24 PCS CUTTLERY,1,1,0
November,2023,II/018172X,18172,BAJAJ G/STOVE 2 B IX=2,1,1,0
November,2023,II/018200A,18200,G/LIGHTER VIMAL,6,194,388
November,2023,II/018207D,18207,GAS LIGHTER CAPTAIN S/S,4,25,21
November,2023,II/018266H,18266,TAWA FLATE SUMEETRA 285MM,2,9,7
November,2023,II/018278B,18278,NON STICK FRY PAN 240MM BAJAJ,2,8,6
November,2023,II/018335T,18335,GIFT SET 3 IN 1 SUMETRA,2,2,0
November,2023,II/018565F,18565,ALUMINIUM FOIL FLORA SMART WRAP,11,53,42
November,2023,II/018574P,18574,PAM ALUMINIUM FOIL 9 MTR,9,100,91
